@relation distances

@attribute rssi1 numeric
@attribute rssi2 numeric
@attribute rssi3 numeric
@attribute target numeric

@data
-63,-58,-64,4.0
-61,-63,-60,4.0
-59,-62,-59,4.0
-63,-62,-59,4.0
-63,-59,-60,4.0
-60,-62,-59,4.0
-59,-60,-63,4.0
-58,-60,-62,4.0
-59,-60,-57,4.0
-59,-58,-60,4.0
-58,-59,-58,4.0
-60,-59,-60,4.0
-58,-59,-57,4.0
-60,-59,-59,4.0
-58,-61,-59,4.0
-60,-59,-59,4.0
-58,-59,-58,4.0
-59,-62,-59,4.0
-60,-60,-60,4.0
-63,-60,-63,4.0
-60,-63,-59,4.0
-61,-60,-57,4.0
-62,-58,-62,4.0
-59,-63,-58,4.0
-63,-58,-60,4.0
-58,-59,-59,4.0
-59,-60,-64,4.0
-63,-59,-61,4.0
-59,-60,-60,4.0
-61,-59,-61,4.0
-62,-66,-59,4.0
-59,-59,-60,4.0
-60,-61,-62,4.0
-59,-60,-63,4.0
-59,-63,-62,4.0
-57,-59,-61,4.0
-59,-61,-58,4.0
-61,-59,-59,4.0
-60,-61,-61,4.0
-61,-57,-62,4.0
-58,-58,-62,4.0
-58,-61,-59,4.0
-58,-60,-63,4.0
-61,-63,-58,4.0
-62,-61,-59,4.0
-63,-59,-59,4.0
-59,-61,-60,4.0
-61,-59,-59,4.0
-61,-59,-60,4.0
-58,-61,-62,4.0
-58,-59,-60,4.0
-60,-63,-59,4.0
